feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z189,0.0,0.0,0.0,0.0
z19,0.0,0.0,0.0,0.0
z190,0.0004144849016185343,0.00015905929781980747,0.00040097895529069135,0.00015051435752550446
z191,0.0,0.0,0.0,0.0
z192,0.0,0.0,0.0,0.0
z193,0.0,0.0,0.0,0.0
z194,0.0,0.0,0.0,0.0
z195,0.0,0.0,0.0,0.0
z196,0.0,0.0,0.0,0.0
z197,0.0,0.0,0.0,0.0
z198,0.0,0.0,0.0,0.0
z199,0.0,0.0,0.0,0.0
z2,0.0,0.0,0.0,0.0
z20,0.0,0.0,0.0,0.0
z200,0.0007306720782716107,0.001132971645167779,0.0018822423003295792,0.0004983635417072075
z201,0.0,0.0,0.0,0.0
z202,0.0,0.0,0.0,0.0
z203,0.0,0.0,0.0,0.0
z204,0.0,0.0,0.0,0.0
z205,0.0,0.0,0.0,0.0
z206,0.0008717443573932912,0.010534537343483273,0.0031648737254252263,0.0022560289900184468
z207,0.0,0.0,0.0,0.0
z208,0.0,0.0,0.0,0.0
z209,0.0,0.0,0.0,0.0
z21,0.0,0.0,0.0,0.0
z210,0.0,0.0,0.0,0.0
z211,0.0,0.0,0.0,0.0
z212,0.0,0.0,0.0,0.0
z213,0.0,0.0,0.0,0.0
z214,0.0,0.0,0.0,0.0
z215,0.0,0.0,0.0,0.0
z216,0.0,0.0,0.0,0.0
z217,0.0,0.0,0.0,0.0
z218,0.0,0.0,0.0,0.0
z219,0.0,0.0,0.0,0.0
z22,0.0,0.0,0.0,0.0
z220,0.0,0.0,0.0,0.0
z221,0.0,0.0,0.0,0.0
z222,0.0,0.0,0.0,0.0
z223,0.0,0.0,0.0,0.0
z224,0.0,0.0,0.0,0.0
z225,0.0,0.0,0.0,0.0
z226,0.0,0.0,0.0,0.0
z227,0.0,0.0,0.0,0.0
z228,0.00032847556087371374,5.3007620838390994e-05,5.052021993170574e-05,5.0160044888930295e-05
