feature,top_motif,rpb,rpb_abs,mutual_info,precision,recall,f1_score,max_other_rpb,interpretable,monosemantic
z404,in_single_input_module,-0.03323855564159747,0.03323855564159747,0.002797421820417762,0.08333333333333333,0.009017132551848512,0.01627339300244101,0.030145616644387398,False,False
z246,in_feedback_loop,0.033165810059309006,0.033165810059309006,0.0010886877800703413,0.304,0.06529209621993128,0.1074964639321075,0.027327140440791077,False,False
z3,in_feedforward_loop,0.033026960563963044,0.033026960563963044,0.000650593641886953,0.6666666666666666,0.0017921146953405018,0.003574620196604111,0.010956001176072828,False,False
z191,in_single_input_module,0.03271931811256181,0.03271931811256181,0.01165201578243506,0.096,0.02164111812443643,0.03532008830022075,0.03033640752599962,False,False
z500,in_feedback_loop,-0.03212991577166237,0.03212991577166237,0.001003125828562717,0.22448979591836735,0.018900343642611683,0.03486529318541997,0.02996377701182913,False,False
z504,in_single_input_module,-0.03188937065906054,0.03188937065906054,0.002276764115131491,0.168,0.03787195671776375,0.06181015452538631,0.022791185618223103,False,False
z182,in_single_input_module,-0.03157751887141235,0.03157751887141235,0.0029802705899668216,0.132,0.029756537421100092,0.04856512141280354,0.016801663868416028,False,False
z41,in_single_input_module,0.03154744875051466,0.03154744875051466,0.0013524467230044365,0.2073170731707317,0.015329125338142471,0.028547439126784212,0.021538113406620128,False,False
z87,in_feedback_loop,0.0314711292447709,0.0314711292447709,0.0019987843732654593,0.40816326530612246,0.05154639175257732,0.09153318077803203,0.024395993918137338,False,False
z280,in_feedback_loop,0.03103784436409738,0.03103784436409738,0.0027978941487134005,0.324,0.06958762886597938,0.11456859971711457,0.009425085857457416,False,False
z303,in_feedforward_loop,-0.030872993048438817,0.030872993048438817,0.0014483644856759501,0.16494845360824742,0.02867383512544803,0.048854961832061075,0.02396803863631275,False,False
z73,in_feedback_loop,-0.03083682028803828,0.03083682028803828,0.0009186511511175145,0.17045454545454544,0.01288659793814433,0.023961661341853034,0.0074902180182262745,False,False
z264,in_feedback_loop,-0.030547185393890966,0.030547185393890966,0.0015421526833530586,0.2608695652173913,0.05154639175257732,0.08608321377331421,0.01647471255152145,False,False
z270,in_feedback_loop,-0.030035945278331498,0.030035945278331498,0.0009618948712763033,0.2158273381294964,0.02577319587628866,0.04604758250191865,0.010056724319735984,False,False
z297,in_single_input_module,-0.029971699857685757,0.029971699857685757,0.007846740359644746,0.128,0.028854824165915238,0.047093451066961,0.02273068858198713,False,False
z392,in_feedforward_loop,-0.029920554184344385,0.029920554184344385,0.0010061174198309308,0.11475409836065574,0.0062724014336917565,0.0118946474086661,0.024500806279469114,False,False
z142,in_cascade,0.029848511727145588,0.029848511727145588,0.000827313262906468,0.5,0.004132231404958678,0.00819672131147541,0.019519562106467152,False,False
z200,in_feedback_loop,-0.02964980177361169,0.02964980177361169,0.0016640418544990087,0.10526315789473684,0.005154639175257732,0.00982800982800983,0.01112443038267745,False,False
z486,in_single_input_module,-0.029235739796365262,0.029235739796365262,0.004099723325216303,0.128,0.028854824165915238,0.047093451066961,0.02367886963320901,False,False
z380,in_cascade,0.02886562828242091,0.02886562828242091,0.00032847556087371374,1.0,0.0010330578512396695,0.002063983488132095,0.00779104338095927,False,False
z407,in_single_input_module,0.02861262348594842,0.02861262348594842,0.0003914310135661528,0.30434782608695654,0.0063119927862939585,0.012367491166077738,0.0121101674294722,False,False
z123,in_single_input_module,0.02845806865804793,0.02845806865804793,0.001104448060558308,0.42857142857142855,0.002705139765554554,0.005376344086021506,0.016837988257658032,False,False
z42,in_single_input_module,0.0283759481600782,0.0283759481600782,0.0007942573556497582,0.3,0.005410279531109108,0.01062887511071745,0.014916840471833993,False,False
z172,in_feedback_loop,-0.027681459260061884,0.027681459260061884,0.0011502823532193998,0.17699115044247787,0.01718213058419244,0.031323414252153486,0.012575395924550453,False,False
z106,in_single_input_module,-0.027610848650097997,0.027610848650097997,0.001610400392535084,0.132,0.029756537421100092,0.04856512141280354,0.014220348334888947,False,False
z354,in_feedback_loop,-0.02755459321499068,0.02755459321499068,0.0009181377501987446,0.04,0.000859106529209622,0.001682085786375105,0.007074324065208044,False,False
z28,in_feedback_loop,-0.02739822131718224,0.02739822131718224,0.0016876671472848105,0.236,0.0506872852233677,0.08345120226308345,0.024845308786681092,False,False
z468,in_cascade,0.026532538628033616,0.026532538628033616,0.0010493226628662208,0.22,0.056818181818181816,0.090311986863711,0.015453120124746898,False,False
z415,in_single_input_module,0.026492520187970683,0.026492520187970683,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.007791043380959274,False,False
z267,in_single_input_module,0.02649252018797068,0.02649252018797068,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.0077910433809592694,False,False
z48,in_single_input_module,0.02649252018797068,0.02649252018797068,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.007791043380959269,False,False
z171,in_single_input_module,0.026492520187970676,0.026492520187970676,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.007791043380959273,False,False
z342,in_single_input_module,0.026492520187970676,0.026492520187970676,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.007791043380959272,False,False
z365,in_single_input_module,0.026492520187970672,0.026492520187970672,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.007791043380959269,False,False
z38,in_single_input_module,0.026492520187970672,0.026492520187970672,0.0003012660379209122,1.0,0.0009017132551848512,0.0018018018018018016,0.007791043380959269,False,False
z36,in_feedforward_loop,-0.02638391599697543,0.02638391599697543,0.0013362165360533986,0.1650485436893204,0.015232974910394265,0.02789171452009844,0.008101577508781401,False,False
z243,in_feedback_loop,-0.02617243824182519,0.02617243824182519,0.0010731451104126048,0.16666666666666666,0.005154639175257732,0.01,0.01696961190347414,False,False
z118,in_feedforward_loop,-0.026026800278836762,0.026026800278836762,0.0012885850951768107,0.168,0.03763440860215054,0.06149341142020499,0.02296266429955977,False,False
z88,in_feedback_loop,-0.025835084976910977,0.025835084976910977,0.0009625626678281432,0.06666666666666667,0.001718213058419244,0.003350083752093803,0.00982645237485666,False,False
z1,in_feedback_loop,0.025675637808728335,0.025675637808728335,0.00029158104655906125,1.0,0.000859106529209622,0.0017167381974248926,0.00758142631410315,False,False
z97,in_feedback_loop,0.025675637808728325,0.025675637808728325,0.00029158104655906125,1.0,0.000859106529209622,0.0017167381974248926,0.0075814263141031485,False,False
z396,in_single_input_module,-0.025356099573636853,0.025356099573636853,0.0022442273853719363,0.148,0.033363390441839495,0.05445180279617365,0.019469714872715795,False,False
z477,in_single_input_module,-0.02501319466771807,0.02501319466771807,0.001196857033307724,0.07476635514018691,0.014427412082957619,0.02418745275888133,0.008405826666355838,False,False
z481,in_single_input_module,-0.02493695120995683,0.02493695120995683,0.0027357034593014987,0.144,0.032461677186654644,0.05298013245033113,0.013132924836174122,False,False
z387,in_feedback_loop,-0.02492140838697783,0.02492140838697783,0.0013169606715325885,0.12244897959183673,0.005154639175257732,0.00989282769991756,0.018215008577262028,False,False
z324,in_cascade,-0.024693554042840342,0.024693554042840342,0.0009627092734156315,0.176,0.045454545454545456,0.0722495894909688,0.0174283989903128,False,False
z269,in_feedforward_loop,-0.024538866945203394,0.024538866945203394,0.0009151012918800422,0.06818181818181818,0.002688172043010753,0.005172413793103449,0.02145561530302334,False,False
z260,in_feedforward_loop,-0.02415810437336914,0.02415810437336914,0.0006070027042231244,0.0,0.0,0.0,0.0037565427749181955,False,False
z214,in_cascade,0.024103129678862467,0.024103129678862467,0.0007676123802865735,0.22916666666666666,0.011363636363636364,0.021653543307086614,0.02200470974163342,False,False
z482,in_cascade,0.024095938356233297,0.024095938356233297,0.00037147543150808644,0.5,0.0010330578512396695,0.002061855670103093,0.010161216752178666,False,False
z98,in_feedforward_loop,-0.02403503487081579,0.02403503487081579,0.0011588677700637138,0.172,0.03853046594982079,0.0629575402635432,0.019929466325014366,False,False
z166,in_feedback_loop,-0.02399974745439009,0.02399974745439009,0.0014621324507484823,0.24375,0.03350515463917526,0.05891238670694863,0.010219348248453978,False,False
z129,in_cascade,0.02301095295156102,0.02301095295156102,0.000603146436448849,0.42857142857142855,0.0030991735537190084,0.006153846153846154,0.01885354423763888,False,False
z488,in_feedforward_loop,-0.02240030585971147,0.02240030585971147,0.0005876074350698642,0.188,0.042114695340501794,0.06881405563689605,0.018416428972014065,False,False
z291,in_feedback_loop,-0.021834630565440077,0.021834630565440077,0.0024197690170751594,0.2962962962962963,0.027491408934707903,0.05031446540880503,0.009900250314019013,False,False
z227,in_feedback_loop,0.021761790140795465,0.021761790140795465,0.023510256169153535,0.296,0.06357388316151202,0.10466760961810467,0.013019120203951325,False,False
z188,in_feedback_loop,-0.021656121176790034,0.021656121176790034,0.000981600328117069,0.075,0.002577319587628866,0.0049833887043189366,0.013314697022899287,False,False
z319,in_feedforward_loop,-0.021589522962005243,0.021589522962005243,0.000944963744575314,0.08,0.008960573476702509,0.016116035455278,0.017055447822851264,False,False
z344,in_feedback_loop,-0.021394165970725156,0.021394165970725156,0.000424401291069125,0.0,0.0,0.0,0.013969149731676775,False,False
z237,in_feedback_loop,-0.02137883730814566,0.02137883730814566,0.0014115309884412202,0.22727272727272727,0.0429553264604811,0.07225433526011561,0.011406945087168304,False,False
z492,in_single_input_module,-0.02131198521899982,0.02131198521899982,0.0010911828260038632,0.136,0.030658250676284943,0.05003679175864607,0.015594849843297592,False,False
z12,in_single_input_module,-0.021263436298947544,0.021263436298947544,0.0023473089890511914,0.07834101382488479,0.015329125338142471,0.02564102564102564,0.013111482392282763,False,False
z294,in_feedback_loop,0.021157192337832934,0.021157192337832934,0.01256072614334722,0.332,0.07130584192439862,0.11739745403111738,0.011861466654204716,False,False
z333,in_feedback_loop,-0.02051433529194926,0.02051433529194926,0.0005051563152493191,0.13559322033898305,0.006872852233676976,0.013082583810302535,0.013722095028742233,False,False
z149,in_feedback_loop,-0.020335950082446534,0.020335950082446534,0.0005306233265633667,0.0,0.0,0.0,0.010244557944142698,False,False
z441,in_feedback_loop,-0.02026694857727653,0.02026694857727653,0.0010364798377403887,0.09523809523809523,0.001718213058419244,0.0033755274261603376,0.01212179653288873,False,False
z233,in_feedback_loop,0.02013309322113111,0.02013309322113111,0.0004411880601347196,0.3,0.023195876288659795,0.04306220095693781,0.0185981982612076,False,False
z272,in_cascade,0.019918005688614085,0.019918005688614085,0.0009880272718935045,0.3157894736842105,0.006198347107438017,0.012158054711246202,0.017194132819254804,False,False
z450,in_feedforward_loop,0.019888211536451667,0.019888211536451667,0.0003504872528033915,0.5,0.0008960573476702509,0.0017889087656529515,0.010512072752757982,False,False
z388,in_feedforward_loop,-0.019821053768111593,0.019821053768111593,0.0011689385624825775,0.18,0.04032258064516129,0.06588579795021962,0.013303298333653634,False,False
z117,in_single_input_module,0.019544700892208507,0.019544700892208507,0.0006534068487282817,0.24444444444444444,0.009918845807033363,0.019064124783362217,0.014653525447427818,False,False
z83,in_single_input_module,-0.01952085899474495,0.01952085899474495,0.005023430735026897,0.176,0.03967538322813345,0.06475349521707137,0.01573327277678522,False,False
