feature,in_cascade,in_feedback_loop,in_feedforward_loop,in_single_input_module
z156,-0.007962631795963184,-0.04341703139792173,0.0037176258420920944,0.00786219116210035
z157,,,,
z158,,,,
z159,,,,
z16,-0.018625850025105223,-0.013675470384624678,0.001043904220367247,-0.011823130033226282
z160,,,,
z161,0.004092025545229439,-0.01940131734155433,0.014253905829643322,-0.011179814929040507
z162,,,,
z163,,,,
z164,,,,
z165,,,,
z166,0.000399714433155912,-0.02399974745439009,-0.010219348248453978,-0.009952159874217046
z167,,,,
z168,,,,
z169,,,,
z17,,,,
z170,,,,
z171,-0.006930041710660574,-0.007791043380959273,-0.007581426314103147,0.026492520187970676
z172,0.006206589155902394,-0.027681459260061884,0.012575395924550453,0.004851758996342363
z173,,,,
z174,,,,
z175,,,,
z176,,,,
z177,-0.0038047171973924817,0.033363794791215706,-0.009164723746777853,-0.013378187228483029
z178,0.003229952051719922,-0.006390351048590053,0.007823304735894394,-0.006498931934921685
z179,,,,
z18,0.0013758832264336163,-0.007057141259694892,0.006113296712861234,0.012188139568590878
z180,,,,
z181,,,,
z182,0.016801663868416028,0.010014334996897007,0.0002303116324408501,-0.03157751887141235
z183,,,,
z184,,,,
z185,,,,
z186,,,,
z187,,,,
z188,-0.005073700351020066,-0.021656121176790034,0.003494163477348134,0.013314697022899287
z189,,,,
z19,0.003243244531831624,0.046250740488450764,-0.02649455297047892,-0.04594695624294799
z190,-0.004441357943975599,-0.017968648389690464,0.004027878025441474,-0.00887501575334856
z191,-0.03033640752599962,-0.0006644807063903692,0.027677082389184794,0.03271931811256181
z192,0.00645268930014711,-0.01566365455159802,0.00855379805759258,0.0031620446265186774
z193,0.00704672585251198,0.006615431149193881,-0.01626150978165053,-0.006429853738654781
z194,,,,
z195,,,,
z196,,,,
z197,,,,
z198,,,,
z199,,,,
z2,,,,
z20,,,,
z200,-0.0013640169462516337,-0.02964980177361169,0.01112443038267745,-0.00800622981060477
z201,,,,
z202,,,,
z203,,,,
z204,,,,
z205,,,,
z206,0.002384137780945421,0.033737335966719934,0.0024457651930517403,-0.01823215471519302
z207,,,,
z208,,,,
z209,,,,
z21,,,,
z210,,,,
z211,,,,
z212,,,,
z213,,,,
z214,0.024103129678862467,-0.02200470974163342,-0.003319666118426868,-0.013166927316818133
z215,,,,
z216,,,,
z217,-0.030268575318852665,-0.03900981651147946,0.04017564478530624,0.05225128940770354
z218,,,,
z219,0.010590048234696359,0.007568660331302314,-0.002895731953056105,-0.005678190222953062
z22,,,,
z220,,,,
z221,,,,
z222,0.018666444867814613,-0.010926065625593829,-0.010632101169650509,0.010157299962940312
z223,,,,
z224,,,,
z225,,,,
z226,,,,
z227,0.013019120203951325,0.021761790140795465,-0.007196300455565564,-0.011670201085808577
z228,,,,
z229,0.0015223938158108095,-0.035360219426297315,-0.026353374343060683,0.018864944185664985
z23,,,,
z230,,,,
z231,,,,
z232,,,,
z233,0.009773182707645435,0.02013309322113111,-0.011467178872776675,-0.0185981982612076
z234,,,,
z235,,,,
z236,0.0016963197154975275,-0.03385035281055431,-0.005106854459877307,0.026940978331247267
z237,0.011406945087168304,-0.02137883730814566,0.009958006670963993,0.0008838098769641516
z238,,,,
z239,,,,
z24,,,,
z240,,,,
z241,,,,
z242,,,,
z243,-0.008965470269223903,-0.02617243824182519,-0.01696961190347414,0.01066465837107446
z244,,,,
