Motif,Loss (Original),Loss (Full SAE),Loss (Ablated)
Feedback Loop,0.007661163617325342,0.007988076306948786,0.009710245702939692
Single Input Module,0.0027290397299752755,0.003265056630188827,0.00512435631719567
Feedforward Loop,0.015889407242081717,0.016552268796638847,0.016862218067531402
Single Input Module,0.014255195558375802,0.014735728532188054,0.016445565020959927
Feedforward Loop,0.010350209568511227,0.010822071057856118,0.010989724459758614
Feedback Loop,0.012795308004019734,0.01318050251340416,0.013879374411963071
Single Input Module,0.005562766756785668,0.0060994265813953535,0.006629486688231676
Cascade,0.014233527858314499,0.01483323938050428,0.019597920638597027
Single Input Module,0.013683597031899516,0.01413892868483045,0.014901093010846148
Single Input Module,0.016614022100044534,0.016985992987221008,0.01733519132435001
Feedback Loop,0.0026853481413840565,0.003174645105388601,0.0036570239441789136
Feedback Loop,0.01799012799502259,0.018452661862186977,0.019043323369527687
Single Input Module,0.0017469306569808797,0.0022983895560499336,0.0039007070923378464
Single Input Module,0.010721483257397964,0.011183577492779732,0.011653787919671407
Feedforward Loop,0.00626067531479687,0.0068220919848012125,0.008200845839824864
Feedforward Loop,0.019738882921469487,0.02031885204372801,0.021353354799407524
Feedback Loop,0.012746840659075623,0.013184188240806768,0.013088123212685779
Feedforward Loop,0.0021844858877135874,0.002771170794047802,0.0040066892097568125
Single Input Module,0.011110156220040999,0.011597364460892922,0.012119594240592708
Single Input Module,0.008546112817577566,0.009075479419938512,0.009831094508210746
Cascade,0.0013813527577768011,0.001775226494482142,0.006120853148369127
Feedback Loop,0.011171375716294948,0.011601120604582932,0.012004490546763719
Feedforward Loop,0.013902944063745301,0.01440214679961364,0.016142118869058652
Single Input Module,0.012099790209569215,0.012639946266381815,0.014463420771575407
Cascade,0.009201531378363909,0.009662724459384167,0.013994322491080898
Feedback Loop,0.018093300545755236,0.018451780293803486,0.0197494808616587
Single Input Module,0.019743789727066613,0.0201039329696847,0.021385417588029983
Feedback Loop,0.005281323156538036,0.00576069926064245,0.005621724051737171
Feedback Loop,0.004544773456974809,0.004961915079872935,0.005689330480207013
Single Input Module,0.017003966670665453,0.01752136330358241,0.018975299277203626
Single Input Module,0.017444635391985625,0.01788695825892879,0.019264653871841668
Cascade,0.014735025835813736,0.015291659848865638,0.0211234780249709
Single Input Module,0.011860641099928095,0.01245394231396693,0.01307307485610302
Feedback Loop,0.019391887263580453,0.019800917968565607,0.021120229793484428
