graph_id,experiment,n_ablated,ablated_features,sae_recon_mse,sae_ablation_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_fidelity_mse,gnn_causal_mse
805,latent512_k16_ablate_z496,1,z496,5.295631666513145e-08,9.531769151749359e-09,6.531666940645664e-07,1,10,2.3548835104136856e-10,0.0
4487,latent512_k16_ablate_z496,1,z496,7.567839929834008e-06,7.826209902361825e-09,5.918521992498427e-07,1,10,1.369221195091086e-06,1.3554235511747947e-09
4155,latent512_k16_ablate_z496,1,z496,6.406987722584745e-06,0.0,0.0,0,10,1.3981714346300578e-06,0.0
4154,latent512_k16_ablate_z496,1,z496,2.4337670765817165e-05,0.0,0.0,0,10,2.455444155202713e-05,0.0
1028,latent512_k16_ablate_z496,1,z496,1.2694943052338203e-07,9.187167471225166e-09,6.412512334463827e-07,1,10,4.5098751400018955e-09,5.383643530976201e-10
4133,latent512_k16_ablate_z496,1,z496,1.86624015441339e-06,8.125991968199742e-08,1.907108526211232e-06,1,10,2.1922285498021665e-07,9.027550262885597e-09
3129,latent512_k16_ablate_z496,1,z496,5.4115748326921675e-08,0.0,0.0,0,10,1.8987575955975444e-09,0.0
440,latent512_k16_ablate_z496,1,z496,9.092970287838398e-08,6.825319864844914e-09,5.527119242287881e-07,1,10,3.2492292190156036e-10,0.0
4795,latent512_k16_ablate_z496,1,z496,5.982674338156357e-06,4.6245482110407465e-08,1.4387054534381605e-06,1,10,1.5730362292742939e-06,1.1141767508604516e-08
801,latent512_k16_ablate_z496,1,z496,7.42036974088478e-08,0.0,0.0,0,10,2.8699426168898867e-10,0.0
1287,latent512_k16_ablate_z496,1,z496,6.182973777413281e-08,0.0,0.0,0,10,1.5592332980318702e-09,0.0
4719,latent512_k16_ablate_z496,1,z496,7.264837222464848e-06,1.959491235936639e-08,9.365028859065205e-07,1,10,3.4460470033081947e-07,1.4585556096236019e-09
1621,latent512_k16_ablate_z496,1,z496,6.999076163083373e-08,1.0266577277207034e-07,3.692075097205816e-06,3,10,1.6802296221030133e-09,2.7801216884171254e-09
159,latent512_k16_ablate_z496,1,z496,1.2795536008525232e-07,8.240665927417012e-09,6.073203735468269e-07,1,10,1.6003326441804688e-09,0.0
160,latent512_k16_ablate_z496,1,z496,7.316749872643413e-08,0.0,0.0,0,10,3.3396397626506147e-12,0.0
4586,latent512_k16_ablate_z496,1,z496,6.740666322002653e-06,0.0,0.0,0,10,1.23221002468199e-06,0.0
3487,latent512_k16_ablate_z496,1,z496,7.711506810892388e-08,0.0,0.0,0,10,1.321246223540129e-09,0.0
714,latent512_k16_ablate_z496,1,z496,1.106515128412866e-07,0.0,0.0,0,10,1.7599406654245087e-10,0.0
1233,latent512_k16_ablate_z496,1,z496,1.3806274523631146e-07,3.157611416781947e-08,1.78407458406582e-06,3,10,3.4572260609877503e-09,3.475006948860937e-10
1753,latent512_k16_ablate_z496,1,z496,3.2261075944006734e-07,4.1619205148890615e-07,1.1682544027280528e-05,8,10,1.2592087372809146e-08,3.151863126049648e-08
2237,latent512_k16_ablate_z496,1,z496,3.9922799288660826e-08,0.0,0.0,0,10,2.2363746965403664e-10,0.0
4493,latent512_k16_ablate_z496,1,z496,9.96821881926735e-07,1.7950344499695348e-07,4.341000021668151e-06,3,10,1.3946137755738164e-07,1.0335215350210092e-08
667,latent512_k16_ablate_z496,1,z496,2.2460821469394432e-07,1.805653404574059e-08,8.989891284727491e-07,1,10,6.738226643321354e-10,0.0
1897,latent512_k16_ablate_z496,1,z496,1.984156199341669e-07,9.517490129340445e-10,2.0639454589854722e-07,1,10,1.753247502733757e-08,6.004085981647575e-14
3011,latent512_k16_ablate_z496,1,z496,8.46600514137208e-08,0.0,0.0,0,10,4.2550948875508254e-10,0.0
836,latent512_k16_ablate_z496,1,z496,5.005159664506209e-08,0.0,0.0,0,10,4.429151212459459e-10,0.0
4737,latent512_k16_ablate_z496,1,z496,3.088277026108699e-06,1.700324681053189e-08,8.723749260752811e-07,1,10,2.81747844610436e-07,3.4973903773050097e-09
2226,latent512_k16_ablate_z496,1,z496,3.889500277409752e-08,0.0,0.0,0,10,3.022528061169538e-10,0.0
3651,latent512_k16_ablate_z496,1,z496,1.040442825228638e-07,5.050351248314655e-08,2.120658564308542e-06,2,10,2.489744632683255e-09,7.552231062746273e-10
2377,latent512_k16_ablate_z496,1,z496,3.68620014512544e-08,0.0,0.0,0,10,3.213935784174282e-10,0.0
555,latent512_k16_ablate_z496,1,z496,3.033588313883229e-08,0.0,0.0,0,10,1.3192156256280896e-09,0.0
2863,latent512_k16_ablate_z496,1,z496,3.7960234067213605e-08,0.0,0.0,0,10,2.4653684649322827e-10,0.0
1499,latent512_k16_ablate_z496,1,z496,2.1225972091087897e-07,1.3728592307415965e-07,4.573500973492628e-06,6,10,8.128841599841508e-09,1.2911556268591085e-08
1041,latent512_k16_ablate_z496,1,z496,2.2469029659077933e-07,5.3526047594232296e-08,2.7908445190405473e-06,4,10,8.497600845203124e-09,1.0265486238836274e-09
351,latent512_k16_ablate_z496,1,z496,1.3276886079438555e-07,0.0,0.0,0,10,1.1891090334614773e-09,0.0
3349,latent512_k16_ablate_z496,1,z496,6.611357150632102e-08,5.903569633147754e-09,5.140371399647847e-07,1,10,3.2257832516258134e-10,0.0
3254,latent512_k16_ablate_z496,1,z496,1.3224595818428497e-07,4.712167012144164e-08,2.0357913399493555e-06,2,10,6.709520716796646e-10,5.081858267530492e-10
2137,latent512_k16_ablate_z496,1,z496,4.541012188497007e-08,0.0,0.0,0,10,3.2454980369855946e-10,0.0
1381,latent512_k16_ablate_z496,1,z496,2.63198955963162e-07,1.2703731044894084e-07,4.907740276394179e-06,5,10,7.1533925449784874e-09,4.590654079095202e-09
3926,latent512_k16_ablate_z496,1,z496,1.464243126747533e-07,0.0,0.0,0,10,4.59000115693442e-10,0.0
2762,latent512_k16_ablate_z496,1,z496,8.308120413857978e-09,0.0,0.0,0,10,1.2968915004407666e-11,0.0
3732,latent512_k16_ablate_z496,1,z496,1.7767008841929055e-07,0.0,0.0,0,10,2.0015953339225234e-09,0.0
1240,latent512_k16_ablate_z496,1,z496,4.0109370047503035e-07,1.4806398951350275e-07,6.397658580681309e-06,7,10,7.2291768127286105e-09,1.054254905596963e-08
989,latent512_k16_ablate_z496,1,z496,2.2167542113038508e-07,0.0,0.0,0,10,4.678566978277843e-10,0.0
