graph_id,experiment,n_ablated_features,ablated_features,reconstruction_mse,latent_change_mean,n_affected_nodes,total_nodes,gnn_output_mse
867,latent512_k4_ablate_z290,1,z290,5.961741180726676e-07,0.0,0,10,1.531201654358938e-08
2853,latent512_k4_ablate_z290,1,z290,2.123026661138283e-07,0.0,0,10,1.0748271606075832e-08
3545,latent512_k4_ablate_z290,1,z290,1.721298588108766e-07,0.0,0,10,9.731503602949942e-09
4722,latent512_k4_ablate_z290,1,z290,1.169726238003932e-05,0.0,0,10,2.162600821975502e-06
3900,latent512_k4_ablate_z290,1,z290,3.7566496757790446e-07,0.0,0,10,1.1438869407243146e-08
4210,latent512_k4_ablate_z290,1,z290,7.510917384934146e-06,0.0,0,10,4.018997401544766e-07
4950,latent512_k4_ablate_z290,1,z290,6.721163117617834e-06,0.0,0,10,1.2628964896066464e-06
2260,latent512_k4_ablate_z290,1,z290,2.9716238714172505e-07,0.0,0,10,2.2460266535517803e-08
49,latent512_k4_ablate_z290,1,z290,2.7965245408267947e-07,0.0,0,10,1.2850085440163639e-08
760,latent512_k4_ablate_z290,1,z290,8.752414828450128e-07,0.0,0,10,2.119002973088868e-09
4624,latent512_k4_ablate_z290,1,z290,6.183855475683231e-06,0.0,0,10,2.6966193900079816e-07
1630,latent512_k4_ablate_z290,1,z290,1.2308183841014397e-06,0.0,0,10,4.3751448686180083e-08
4629,latent512_k4_ablate_z290,1,z290,8.109725968097337e-06,0.0,0,10,1.815152813833265e-06
4853,latent512_k4_ablate_z290,1,z290,2.4277193006128073e-05,0.0,0,10,2.412210506008705e-06
3590,latent512_k4_ablate_z290,1,z290,7.661184895368933e-07,0.0,0,10,1.4188063168774079e-08
446,latent512_k4_ablate_z290,1,z290,3.396181966763834e-07,0.0,0,10,1.636331248278111e-08
3414,latent512_k4_ablate_z290,1,z290,5.281970061332686e-07,0.0,0,10,2.8464686607776457e-08
4885,latent512_k4_ablate_z290,1,z290,4.383775831229286e-06,0.0,0,10,4.187418767287454e-07
4720,latent512_k4_ablate_z290,1,z290,3.6638225537899416e-06,0.0,0,10,5.149656203684572e-07
261,latent512_k4_ablate_z290,1,z290,8.371772537429933e-07,0.0,0,10,1.90765625518452e-08
752,latent512_k4_ablate_z290,1,z290,6.249247803680191e-07,0.0,0,10,1.440771058014434e-08
3066,latent512_k4_ablate_z290,1,z290,3.763997540318087e-07,0.0,0,10,6.5234404544867175e-09
1194,latent512_k4_ablate_z290,1,z290,8.177304948731035e-07,0.0,0,10,3.783957680525418e-08
3775,latent512_k4_ablate_z290,1,z290,1.0425412710901583e-06,0.0,0,10,5.965826233023108e-08
809,latent512_k4_ablate_z290,1,z290,5.187908413972764e-07,0.0,0,10,1.4941885950747746e-08
3504,latent512_k4_ablate_z290,1,z290,2.2479341055259283e-07,0.0,0,10,1.8781985744453777e-08
1179,latent512_k4_ablate_z290,1,z290,1.698219762147346e-06,0.0,0,10,1.4701598161082075e-07
4382,latent512_k4_ablate_z290,1,z290,2.901653260778403e-06,0.0,0,10,3.81296729301539e-07
3796,latent512_k4_ablate_z290,1,z290,9.155587576969992e-07,0.0,0,10,7.864121798206725e-09
437,latent512_k4_ablate_z290,1,z290,1.4738353684151662e-06,0.0,0,10,1.6432732508064873e-08
2455,latent512_k4_ablate_z290,1,z290,3.0794754479757103e-07,0.0,0,10,2.2844846014891118e-08
1672,latent512_k4_ablate_z290,1,z290,5.942796406088746e-07,0.0,0,10,3.880647270193549e-08
3477,latent512_k4_ablate_z290,1,z290,7.112552111721016e-07,0.0,0,10,2.6732077884616956e-08
4045,latent512_k4_ablate_z290,1,z290,1.430639713362325e-05,0.0,0,10,3.203783535354887e-06
4494,latent512_k4_ablate_z290,1,z290,1.232046361110406e-05,0.0,0,10,5.59862564841751e-06
3465,latent512_k4_ablate_z290,1,z290,5.088121497465181e-07,0.0,0,10,1.382114600545492e-08
1911,latent512_k4_ablate_z290,1,z290,9.106902325584088e-07,0.0,0,10,3.483817678784362e-08
423,latent512_k4_ablate_z290,1,z290,5.021426545681607e-07,0.0,0,10,1.0538959038797202e-08
3595,latent512_k4_ablate_z290,1,z290,1.230761540682579e-06,0.0,0,10,8.245327975942018e-09
247,latent512_k4_ablate_z290,1,z290,6.355368782351434e-07,0.0,0,10,2.137719512518288e-08
2693,latent512_k4_ablate_z290,1,z290,1.4226259281713283e-07,0.0,0,10,4.6040673495895135e-09
3124,latent512_k4_ablate_z290,1,z290,8.906624771043425e-08,0.0,0,10,3.985800134387318e-09
450,latent512_k4_ablate_z290,1,z290,2.60686590536352e-07,0.0,0,10,8.88439721791201e-09
3797,latent512_k4_ablate_z290,1,z290,3.1373406272905413e-07,0.0,0,10,9.239854215081778e-09
3807,latent512_k4_ablate_z290,1,z290,1.3513725605207583e-07,0.0,0,10,9.304106818319724e-09
4994,latent512_k4_ablate_z290,1,z290,7.757039384159725e-06,0.0,0,10,9.702756642582244e-07
1742,latent512_k4_ablate_z290,1,z290,1.081218329090916e-06,0.0,0,10,1.3698820566787617e-07
2275,latent512_k4_ablate_z290,1,z290,1.8281984637269488e-07,0.0,0,10,1.0563743657598934e-08
2873,latent512_k4_ablate_z290,1,z290,1.730976464386913e-07,0.0,0,10,1.412582939508411e-08
2239,latent512_k4_ablate_z290,1,z290,3.0149988106131786e-07,0.0,0,10,1.624961321056162e-08
2215,latent512_k4_ablate_z290,1,z290,2.412056119283079e-07,0.0,0,10,1.2026399431874779e-08
650,latent512_k4_ablate_z290,1,z290,2.7346032993591507e-07,0.0,0,10,1.2934282089815952e-08
1275,latent512_k4_ablate_z290,1,z290,1.1384784102119738e-06,0.0,0,10,3.767834755308286e-08
386,latent512_k4_ablate_z290,1,z290,7.047381700431288e-07,0.0,0,10,1.2070069388414595e-08
2669,latent512_k4_ablate_z290,1,z290,1.9878886803326168e-07,0.0,0,10,1.3600912396327658e-08
2665,latent512_k4_ablate_z290,1,z290,3.134755388600752e-07,0.0,0,10,2.7222862186704333e-08
1023,latent512_k4_ablate_z290,1,z290,3.0000342121638823e-06,0.0,0,10,2.5980642703871126e-07
597,latent512_k4_ablate_z290,1,z290,8.089299399216543e-07,0.0,0,10,1.0274151307498869e-08
690,latent512_k4_ablate_z290,1,z290,3.8514562561431376e-07,0.0,0,10,2.1267625882614993e-08
491,latent512_k4_ablate_z290,1,z290,1.1263189207966207e-06,0.0,0,10,2.1659857907252444e-08
1602,latent512_k4_ablate_z290,1,z290,7.510253112741339e-07,0.0,0,10,5.442011641321187e-08
3610,latent512_k4_ablate_z290,1,z290,6.392878049155115e-07,0.0,0,10,1.6266753277704993e-08
3948,latent512_k4_ablate_z290,1,z290,2.7490364118420985e-07,0.0,0,10,2.6664043417667926e-08
4740,latent512_k4_ablate_z290,1,z290,3.797206318267854e-06,0.0,0,10,2.4829751055222005e-07
1200,latent512_k4_ablate_z290,1,z290,1.0389321687398478e-06,0.0,0,10,1.2477825350742933e-07
1878,latent512_k4_ablate_z290,1,z290,1.0408122079752502e-06,0.0,0,10,6.269861785312969e-08
1281,latent512_k4_ablate_z290,1,z290,1.0732849204941886e-06,0.0,0,10,1.704600975926951e-07
3240,latent512_k4_ablate_z290,1,z290,9.39904907681921e-07,0.0,0,10,1.133457061541776e-07
3884,latent512_k4_ablate_z290,1,z290,6.625406285820645e-07,0.0,0,10,9.761625285875652e-09
478,latent512_k4_ablate_z290,1,z290,5.51492121303454e-07,0.0,0,10,1.4401921433204734e-08
4233,latent512_k4_ablate_z290,1,z290,5.370800499804318e-05,0.0,0,10,2.2450143660535105e-05
3577,latent512_k4_ablate_z290,1,z290,8.839906513458118e-07,0.0,0,10,5.883701970077482e-09
3869,latent512_k4_ablate_z290,1,z290,7.130231551855104e-07,0.0,0,10,7.964661108417204e-08
2686,latent512_k4_ablate_z290,1,z290,3.009267004472349e-07,0.0,0,10,1.5286788723756217e-08
1540,latent512_k4_ablate_z290,1,z290,1.5862581221881555e-06,0.0,0,10,1.0373695147336548e-07
987,latent512_k4_ablate_z290,1,z290,4.651377309983218e-07,0.0,0,10,2.1094329838433623e-08
3494,latent512_k4_ablate_z290,1,z290,7.324930493268766e-07,0.0,0,10,5.042645057073969e-08
182,latent512_k4_ablate_z290,1,z290,1.3965762946099858e-07,0.0,0,10,6.472260505319127e-09
2743,latent512_k4_ablate_z290,1,z290,3.108602868451271e-07,0.0,0,10,1.4745422660666918e-08
1532,latent512_k4_ablate_z290,1,z290,1.7501339470982202e-06,0.0,0,10,5.628627874898484e-08
4631,latent512_k4_ablate_z290,1,z290,1.2526616046670824e-05,0.0,0,10,1.2834219660362578e-06
1383,latent512_k4_ablate_z290,1,z290,1.0149153695238056e-06,0.0,0,10,5.8158917681794264e-08
2632,latent512_k4_ablate_z290,1,z290,6.415999109776749e-08,0.0,0,10,2.1858055365697737e-09
4558,latent512_k4_ablate_z290,1,z290,1.8598249880596995e-05,0.0,0,10,4.894122866971884e-06
2607,latent512_k4_ablate_z290,1,z290,1.8671025259209273e-07,0.0,0,10,1.8060552164911314e-08
2156,latent512_k4_ablate_z290,1,z290,1.9933932549065503e-07,0.0,0,10,1.5714157086677005e-08
4903,latent512_k4_ablate_z290,1,z290,1.587638325872831e-05,0.0,0,10,9.823605068959296e-06
4595,latent512_k4_ablate_z290,1,z290,5.607009825325804e-06,0.0,0,10,3.030090454103629e-07
