graph_id,Loss (Original),Loss (Full SAE),Loss (Ablated),SAE Degradation,Ablation Impact,Total Impact
1179,0.003932363819330931,0.003928746096789837,0.004277726169675589,-3.6177225410938263e-06,0.0003489800728857517,0.0003453623503446579
4382,0.0017020440427586436,0.0016857896698638797,0.0016312611987814307,-1.6254372894763947e-05,-5.452847108244896e-05,-7.07828439772129e-05
3796,0.005254456773400307,0.005254402291029692,0.005256474483758211,-5.448237061500549e-08,2.0721927285194397e-06,2.017710357904434e-06
437,0.004267310258001089,0.004264134913682938,0.004329655319452286,-3.175344318151474e-06,6.552040576934814e-05,6.234506145119667e-05
2455,0.006775689776986837,0.006775606423616409,0.00677911564707756,-8.335337042808533e-08,3.509223461151123e-06,3.4258700907230377e-06
1672,0.0015821311390027404,0.0015843798173591495,0.0015720532974228263,2.248678356409073e-06,-1.2326519936323166e-05,-1.0077841579914093e-05
3477,0.0022920030169188976,0.0022993118036538363,0.0022313431836664677,7.3087867349386215e-06,-6.796861998736858e-05,-6.065983325242996e-05
4045,0.0005624429322779179,0.0005311517743393779,0.0005956157110631466,-3.129115793853998e-05,6.446393672376871e-05,3.317277878522873e-05
4494,0.008793199434876442,0.008748924359679222,0.008428565226495266,-4.427507519721985e-05,-0.00032035913318395615,-0.000364634208381176
3465,0.0003603703808039427,0.00035850016865879297,0.0003830371133517474,-1.8702121451497078e-06,2.453694469295442e-05,2.2666732547804713e-05
1911,0.007758693303912878,0.007754272781312466,0.007679366040974855,-4.420522600412369e-06,-7.490674033761024e-05,-7.932726293802261e-05
423,0.006860166788101196,0.0068610357120633125,0.006821474060416222,8.689239621162415e-07,-3.956165164709091e-05,-3.869272768497467e-05
3595,0.00012245155812706798,0.0001225918676936999,0.00010562019451754168,1.4030956663191319e-07,-1.697167317615822e-05,-1.6831363609526306e-05
247,0.004926297347992659,0.004926708061248064,0.004919111263006926,4.10713255405426e-07,-7.596798241138458e-06,-7.186084985733032e-06
2693,3.096120781265199e-05,3.096120781265199e-05,3.096120781265199e-05,0.0,0.0,0.0
3124,0.007560049649327993,0.007560307160019875,0.0076272618025541306,2.575106918811798e-07,6.695464253425598e-05,6.721215322613716e-05
450,,,,,,
3797,0.0005471341428346932,0.0005467491573654115,0.00056174659403041,-3.8498546928167343e-07,1.4997436664998531e-05,1.4612451195716858e-05
3807,0.0007238193647935987,0.0007221122505143285,0.0007127041462808847,-1.7071142792701721e-06,-9.408104233443737e-06,-1.1115218512713909e-05
4994,0.0020655719563364983,0.0020553283393383026,0.002002506284043193,-1.0243616998195648e-05,-5.282205529510975e-05,-6.30656722933054e-05
1742,0.0014333461876958609,0.0014293097192421556,0.0014962543500587344,-4.036468453705311e-06,6.694463081657887e-05,6.290816236287355e-05
2275,0.00019412816618569195,0.00019421255274210125,0.0001912169682327658,8.438655640929937e-08,-2.9955845093354583e-06,-2.911197952926159e-06
2873,0.0002213666884927079,0.00022148899734020233,0.00021712780289817601,1.223088474944234e-07,-4.361194442026317e-06,-4.238885594531894e-06
2239,0.015250789932906628,0.015250792726874352,0.01525078248232603,2.7939677238464355e-09,-1.0244548320770264e-08,-7.450580596923828e-09
2215,9.258493082597852e-05,9.297762153437361e-05,7.843938510632142e-05,3.926907083950937e-07,-1.4538236428052187e-05,-1.4145545719657093e-05
650,0.0016208470333367586,0.0016211880138143897,0.0016027253586798906,3.4098047763109207e-07,-1.8462655134499073e-05,-1.812167465686798e-05
1275,0.005000317469239235,0.005000869277864695,0.0049361903220415115,5.51808625459671e-07,-6.467895582318306e-05,-6.412714719772339e-05
386,0.0018206840613856912,0.0018197305034846067,0.0018566646613180637,-9.535579010844231e-07,3.693415783345699e-05,3.598059993237257e-05
2669,0.00032505556009709835,0.0003255386254750192,0.0003071712562814355,4.83065377920866e-07,-1.8367369193583727e-05,-1.788430381566286e-05
2665,0.0003954620042350143,0.0003960478934459388,0.000374431285308674,5.858892109245062e-07,-2.1616608137264848e-05,-2.103071892634034e-05
1023,0.00805729627609253,0.008067947812378407,0.00832471251487732,1.0651536285877228e-05,0.0002567647024989128,0.00026741623878479004
597,0.002820811001583934,0.002820525784045458,0.0027493357192724943,-2.852175384759903e-07,-7.119006477296352e-05,-7.147528231143951e-05
690,0.0003868336498271674,0.0003846689942292869,0.0004012324206996709,-2.1646555978804827e-06,1.6563426470384002e-05,1.4398770872503519e-05
491,0.033574238419532776,0.033574238419532776,0.033574238419532776,0.0,0.0,0.0
1602,0.006998984608799219,0.007002452854067087,0.007044336758553982,3.468245267868042e-06,4.188390448689461e-05,4.535214975476265e-05
3610,0.0008972776122391224,0.0008971582283265889,0.0009046223713085055,-1.1938391253352165e-07,7.464142981916666e-06,7.344759069383144e-06
3948,,,,,,
4740,0.01086476445198059,0.01087674219161272,0.010919918306171894,1.197773963212967e-05,4.3176114559173584e-05,5.515385419130325e-05
